px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.4485	0.251375	-0.000719479	-1.69136e-17	-8.67362e-19	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275949
8.47145	0.248799	-0.00552584	3.13699e-06	3.2372e-07	8.56759	0.241943	8.45	0.25	0	0	0.125984
8.46434	0.250982	-0.00838532	-2.06235e-05	-2.9384e-06	8.45582	0.253997	8.45	0.25	0	0	0.00655066
8.37668	0.251326	-0.903851	0.00138341	0.000343877	8.42544	0.254042	8.35	0.25	-1.81979	0	19.7
8.31243	0.25063	-0.924846	0.00315412	0.000762702	8.23962	0.24916	8.25	0.25	-1.81978	0	0.347614
8.10909	0.234582	-1.3384	0.180576	0.0544556	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	29.4986
8.01163	0.203814	-1.38484	0.290877	0.0831709	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.8923
7.82403	0.341446	-1.68838	-1.23659	-0.536274	7.61269	0.155818	7.7	0.15	-2.99982	0	17.9453
7.71627	0.281399	-1.74905	-0.554197	-0.274018	7.54016	0.159641	7.55	0.15	-2.99982	0	3.35828
7.57848	0.200187	-1.8068	0.0911658	0.0784884	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.41042
7.45529	0.138368	-1.80165	0.232437	0.0975214	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.43956
7.30822	0.193939	-2.10268	-0.089346	-0.393825	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	9.17805
7.16826	0.10726	-2.12207	0.096326	-0.231424	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.57465
7.0578	0.0287466	-2.06307	0.232243	-0.0428415	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	3.03772
6.93582	-0.104095	-2.09021	0.4435	0.251753	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	2.19505
6.82482	-0.157856	-2.13899	0.419183	0.0730838	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	1.74267
6.71884	-0.286833	-2.19062	0.565646	0.266017	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	2.33566
6.67431	-0.468964	-2.18506	0.94199	1.10035	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.37415
6.60718	-0.58155	-2.21093	1.02533	1.12694	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.398526
6.56835	-0.740991	-2.25903	1.23674	1.43764	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.35823
6.52245	-0.896321	-2.30571	1.33484	1.42127	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1.56016
6.4097	-0.971456	-2.22641	1.11153	0.746681	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.17583
6.33997	-1.1108	-2.27391	1.14897	0.709341	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1.43151
6.44769	-1.31992	-2.36502	1.61508	1.54028	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	29.914
6.44081	-1.48425	-2.42348	1.69358	1.50604	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	1.92096
