px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
1.54219	-0.135454	0.779398	-7.31064e-18	-7.23873e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.21486
1.54219	-0.135454	0.779398	-7.31064e-18	-7.23873e-17	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	0
3.80771	-0.134287	2.83123	0.00422318	0.00159658	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	8.5944
3.80771	-0.134287	2.83123	0.00422318	0.00159658	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	0
6.73448	0.328692	3.43657	1.24624	-0.0016512	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	16.456
6.73448	0.328692	3.43657	1.24624	-0.0016512	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	0
9.10493	0.697422	2.96051	0.572558	0.343681	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	6.54597
9.10493	0.697422	2.96051	0.572558	0.343681	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	0
11.5624	1.66756	2.99741	0.329517	-0.0753749	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.413001
11.5624	1.66756	2.99741	0.329517	-0.0753749	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0
13.7256	2.36168	2.4803	0.293757	-0.0648859	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	5.00358
13.7256	2.36168	2.4803	0.293757	-0.0648859	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0
16.5468	2.89598	2.77646	0.1318	-0.119176	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.41017
16.5468	2.89598	2.77646	0.1318	-0.119176	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0
19.0553	3.66479	2.65938	0.257781	0.0155977	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.63243
19.0553	3.66479	2.65938	0.257781	0.0155977	19.363	3.87122	18.923	3.74161	2.61382	0.95648	0
21.3697	4.7061	2.56864	0.441274	0.110978	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.874806
21.3697	4.7061	2.56864	0.441274	0.110978	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0
24.0081	5.58238	2.72654	0.342923	-0.00828051	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	1.71123
24.0081	5.58238	2.72654	0.342923	-0.00828051	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	0
26.5727	6.91502	2.85895	0.50227	0.0857139	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.08216
26.5727	6.91502	2.85895	0.50227	0.0857139	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0
29.4991	8.08271	3.07511	0.381722	-0.0332722	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	2.27551
29.4991	8.08271	3.07511	0.381722	-0.0332722	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0
31.9807	9.83849	3.0238	0.635606	0.130523	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	2.00087
31.9807	9.83849	3.0238	0.635606	0.130523	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0
34.6325	10.8087	2.81079	0.38758	-0.0856444	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	4.92488
34.6325	10.8087	2.81079	0.38758	-0.0856444	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	0
37.1453	12.0601	2.83212	0.435679	-0.00830828	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.449428
37.1453	12.0601	2.83212	0.435679	-0.00830828	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	0
40.1982	13.4106	3.22351	0.40811	-0.0201992	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	4.33054
40.1982	13.4106	3.22351	0.40811	-0.0201992	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	0
42.8236	14.833	3.07424	0.495345	0.0409616	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.89456
42.8236	14.833	3.07424	0.495345	0.0409616	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0
45.3632	16.5357	3.08128	0.623482	0.0920796	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.193402
45.3632	16.5357	3.08128	0.623482	0.0920796	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0
48.1671	17.3932	2.86924	0.307685	-0.142712	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	5.321
48.1671	17.3932	2.86924	0.307685	-0.142712	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0
50.6486	18.9929	2.87586	0.559428	0.0861748	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.91166
50.6486	18.9929	2.87586	0.559428	0.0861748	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0
53.6465	19.9333	3.02561	0.277129	-0.126194	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	3.73283
53.6465	19.9333	3.02561	0.277129	-0.126194	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0
56.1214	21.069	2.81125	0.380384	0.00108887	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	2.64278
56.1214	21.069	2.81125	0.380384	0.00108887	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0
58.6838	21.8142	2.72964	0.274996	-0.0597922	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0.485144
58.6838	21.8142	2.72964	0.274996	-0.0597922	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0
60.9458	22.7733	2.54441	0.37496	0.0295378	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	1.58774
60.9458	22.7733	2.54441	0.37496	0.0295378	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0
63.3737	23.4349	2.53965	0.26855	-0.0468639	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	0.439517
63.3737	23.4349	2.53965	0.26855	-0.0468639	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	0
66.2349	23.9834	2.82817	0.148528	-0.0854236	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	2.49879
66.2349	23.9834	2.82817	0.148528	-0.0854236	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	0
68.4122	24.3647	2.41533	0.127135	-0.0533831	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	4.93899
68.4122	24.3647	2.41533	0.127135	-0.0533831	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	0
70.8148	24.857	2.45589	0.187275	0.0108476	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.367857
70.8148	24.857	2.45589	0.187275	0.0108476	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0
72.9659	24.7738	2.22918	-0.0275319	-0.11195	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	2.59483
72.9659	24.7738	2.22918	-0.0275319	-0.11195	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0
75.0375	25.1925	2.12675	0.149197	0.0444374	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	2.22431
75.0375	25.1925	2.12675	0.149197	0.0444374	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0
77.1281	24.992	2.09321	-0.0860716	-0.104768	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.70899
77.1281	24.992	2.09321	-0.0860716	-0.104768	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0
79.1245	25.0034	2.04317	-0.0431034	-0.0274075	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.527455
79.1245	25.0034	2.04317	-0.0431034	-0.0274075	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0
80.8731	24.8688	1.86178	-0.0888212	-0.0366124	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0.940563
80.8731	24.8688	1.86178	-0.0888212	-0.0366124	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	0
82.6357	24.6425	1.82405	-0.145344	-0.0470936	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.0488255
82.6357	24.6425	1.82405	-0.145344	-0.0470936	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0
84.2226	24.5236	1.67804	-0.106704	-0.00381203	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0.746184
84.2226	24.5236	1.67804	-0.106704	-0.00381203	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0
85.6775	23.8708	1.59052	-0.403001	-0.151409	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	1.88975
85.6775	23.8708	1.59052	-0.403001	-0.151409	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0
86.9796	23.4709	1.44341	-0.393209	-0.0740349	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	1.10671
86.9796	23.4709	1.44341	-0.393209	-0.0740349	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	0
88.7115	22.8167	1.75568	-0.385295	-0.0345414	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	2.88879
88.7115	22.8167	1.75568	-0.385295	-0.0345414	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0
89.6546	22.2574	1.30361	-0.504	-0.0744286	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	5.93707
89.6546	22.2574	1.30361	-0.504	-0.0744286	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0
90.5609	21.6508	1.16721	-0.611846	-0.0918114	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0.551737
90.5609	21.6508	1.16721	-0.611846	-0.0918114	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	0
91.6729	21.0934	1.23078	-0.521276	-0.00628991	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.667563
91.6729	21.0934	1.23078	-0.521276	-0.00628991	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	0
92.846	20.8861	1.16634	-0.221824	0.132018	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	1.47599
92.846	20.8861	1.16634	-0.221824	0.132018	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	0
93.5634	20.2862	0.954613	-0.481936	-0.0414498	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	3.69956
93.5634	20.2862	0.954613	-0.481936	-0.0414498	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	0
95.1284	19.7022	1.48814	-0.348659	0.0450478	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	8.52894
95.1284	19.7022	1.48814	-0.348659	0.0450478	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	0
95.7144	19.6105	0.866305	-0.245281	0.0758191	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	11.0327
95.7144	19.6105	0.866305	-0.245281	0.0758191	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0
96.3213	19.2201	0.750602	-0.395813	-0.025723	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	1.45022
96.3213	19.2201	0.750602	-0.395813	-0.025723	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0
97.4164	18.7703	1.08046	-0.41878	-0.0214962	97.5286	18.727	97.45	18.506	0.868716	-0.503009	3.09744
97.4164	18.7703	1.08046	-0.41878	-0.0214962	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0
98.2406	18.364	0.994353	-0.461648	-0.0303505	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0.215021
98.2406	18.364	0.994353	-0.461648	-0.0303505	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0
99.0376	17.4537	1.1099	-0.871149	-0.191108	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	2.43117
99.0376	17.4537	1.1099	-0.871149	-0.191108	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	0
99.9494	16.9214	1.05448	-0.681954	-0.0260252	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	1.9777
99.9494	16.9214	1.05448	-0.681954	-0.0260252	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	0
101.124	16.5012	1.15027	-0.345499	0.129978	101.204	16.5368	101.065	16.497	0.991362	-0.513687	2.09261
101.124	16.5012	1.15027	-0.345499	0.129978	101.169	16.4353	101.065	16.497	0.991362	-0.513687	0
102.352	16.3721	1.20973	-0.0347445	0.207905	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	0.543883
102.352	16.3721	1.20973	-0.0347445	0.207905	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	0
103.111	15.5067	0.918364	-0.566822	-0.116285	103.003	15.353	103.119	15.4967	1.11708	-0.508169	9.99172
103.111	15.5067	0.918364	-0.566822	-0.116285	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	0
104.057	15.2142	0.983373	-0.404574	0.00922821	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	1.43188
104.057	15.2142	0.983373	-0.404574	0.00922821	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	0
105.412	14.5229	1.39834	-0.484659	-0.0327861	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	4.94252
105.412	14.5229	1.39834	-0.484659	-0.0327861	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	0
106.796	14.0362	1.46781	-0.352729	0.038503	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	0.458675
106.796	14.0362	1.46781	-0.352729	0.038503	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	0
108.099	13.6463	1.41391	-0.276765	0.0565423	108.084	13.6604	108.122	13.644	1.47592	-0.423202	0.103848
108.099	13.6463	1.41391	-0.276765	0.0565423	108.131	13.6844	108.122	13.644	1.47592	-0.423202	0
109.52	13.5377	1.42701	-0.053919	0.135919	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	0.455232
109.52	13.5377	1.42701	-0.053919	0.135919	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	0
111.028	12.7062	1.53078	-0.495193	-0.139033	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	5.64629
111.028	12.7062	1.53078	-0.495193	-0.139033	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	0
112.817	12.4303	1.69734	-0.173341	0.0852565	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	4.12723
112.817	12.4303	1.69734	-0.173341	0.0852565	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	0
114.738	12.52	1.85042	0.123006	0.183778	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	1.41186
114.738	12.52	1.85042	0.123006	0.183778	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	0
116.665	12.1839	1.87931	-0.111117	-0.0256018	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	3.04232
116.665	12.1839	1.87931	-0.111117	-0.0256018	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	0
118.86	12.0015	2.13786	-0.0949956	-0.000262951	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	1.89895
118.86	12.0015	2.13786	-0.0949956	-0.000262951	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	0
120.752	12.2458	1.96863	0.119097	0.110089	120.695	12.2918	120.743	12.3289	2.21139	0.128528	1.64309
120.752	12.2458	1.96863	0.119097	0.110089	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0
123.378	12.7888	2.49916	0.287355	0.133032	123.568	12.8297	122.95	12.5114	2.29835	0.246599	8.13249
123.378	12.7888	2.49916	0.287355	0.133032	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0
125.083	12.8825	1.91333	0.18076	0.014286	124.894	12.7743	125.242	12.8125	2.37624	0.369827	10.7429
